Time (s),Pressure (MPa)
0.241130435,14.46943478
0.242156522,14.5383913
0.243182609,14.60778261
0.244208696,14.68669565
0.245234783,14.77213043
0.24626087,14.86247826
0.247286957,14.95482609
0.248313043,15.04917391
0.24933913,15.14052174
0.250365217,15.23286957
0.251391304,15.32321739
0.252417391,15.41356522
0.253443478,15.49904348
0.254469565,15.56986957
0.255495652,15.64965217
0.256521739,15.73495652
0.257547826,15.82530435
0.258573913,15.91765217
0.2596,16.016
0.260626087,16.1106087
0.261652174,16.20669565
0.262678261,16.30204348
0.263704348,16.3943913
0.264730435,16.47713043
0.265756522,16.52869565
0.266782609,16.55282609
0.267808696,16.54465217
0.268834783,16.48486957
0.26986087,16.36386957
0.270886957,16.17686957
0.271913043,15.92021739
0.27293913,15.58591304
0.273965217,15.18195652
0.274991304,14.70826087
0.276017391,14.17843478
0.277043478,13.59234783
0.278069565,12.97283913
0.279095652,12.33562609
0.280121739,11.69364783
0.281147826,11.05734783
0.282173913,10.42268261
0.2832,9.7585
0.284226087,9.052586957
0.285252174,8.315004348
0.286278261,7.557095652
0.287304348,6.785230435
0.288330435,6.00836087
0.289356522,5.23283913
0.290382609,4.465704348
0.291408696,3.713534473
0.292434783,3.002417893
0.29346087,2.372652663
0.294486957,1.836947209
0.295513043,1.390683329
0.29653913,1.026200335
0.297565217,0.7354405
0.298591304,0.510017365
0.299617391,0.341688946
0.300643478,0.22066114
0.301669565,0.137758113
0.302695652,0.09052336
0.303721739,0.06027938
0.304747826,0.040249278
0.305773913,0.027221968
0.3068,0.018786898
